filename,number_of_people
12833.txt,1
12931.txt,8
13239.txt,2
13519.txt,2
13575.txt,2
13731.txt,2
13743.txt,2
16403.txt,1
1690.txt,2
20405.txt,1
26614.txt,10
27140.txt,20
27142.txt,2
27144.txt,2
27149.txt,1
27172.txt,2
27548.txt,2
27566.txt,1
27893.txt,4
28396.txt,1
28401.txt,2
28402.txt,3
28403.txt,3
28490.txt,3
28504.txt,1
28830.txt,6
28833.txt,6
28835.txt,4
28847.txt,5
31566.txt,2
31650.txt,4
32015.txt,1
32114.txt,0
32496.txt,2
32703.txt,2
33950.txt,1
34045.txt,2
34326.txt,7
34399.txt,2
34400.txt,27
34524.txt,10
34721.txt,2
4727.txt,0
5847.txt,2
628.txt,5
6881.txt,5
7193.txt,11
7194.txt,8
7408.txt,2
7538.txt,2
